"month","states","mask","cases","death"
"2020-12-01",Ohio,83.47399204149639,456963,6882
"2021-06-01",Tennessee,13.4390185815262,860280,12479
"2021-03-01",Alaska,69.47760931187328,58317,331
"2021-04-01",Texas,63.90391508474467,5676394,98855
"2021-03-01",North Dakota,48.119767137917435,100615,1452
"2021-08-01",Texas,14.245785826793293,3561407,55404
"2021-05-01",Arkansas,34.65791749220058,678011,11601
"2021-02-01",Alabama,66.33684175060198,480195,10209
"2021-04-01",Pennsylvania,77.82564647796598,2224607,51393
"2021-05-01",Ohio,68.06603195653709,1097300,19709
"2021-01-01",Alaska,72.94439089968505,46698,289
"2021-07-01",Colorado,4.713336002970131,1128405,13678
"2020-11-01",Tennessee,58.4250152778547,298447,3852
"2021-07-01",South Dakota,4.314301832325659,249737,4079
"2021-07-01",Indiana,4.709755330709251,768624,13984
"2020-12-01",South Dakota,49.05775224553959,94336,1350
"2021-06-01",West Virginia,20.9920448,163804,2876
"2021-04-01",Arkansas,48.63094636963715,331882,5661
"2021-07-01",Tennessee,5.726402199726919,889944,12730
"2021-05-01",Alaska,54.82673200278588,66196,343
"2021-04-01",Iowa,58.521418267100344,360173,5886
"2021-08-01",Florida,14.378615670666822,2687449,40723
"2021-05-01",Utah,48.49987111413765,402005,2256
"2021-03-01",Florida,66.15058470995687,1950313,33321
"2021-06-01",Georgia,21.494740037661124,1124571,20867
"2021-03-01",New York,91.24361262441187,1967848,37057
"2021-07-01",Ohio,4.34852544911423,1119298,20449
"2021-01-01",New Mexico,87.78563242876197,157087,2667
"2021-06-01",Oklahoma,10.141023069311064,914174,14755
"2021-01-01",Colorado,84.73862343658858,398204,5512
"2021-05-01",Hawaii,88.49323316122614,33417,483
"2021-05-01",Alabama,33.912391544130394,528282,11214
"2021-02-01",Texas,80.13708148630049,2529343,43708
"2021-02-01",Arkansas,73.07447535935376,304723,5050
"2021-03-01",Alabama,60.70373562895413,498683,10679
"2020-11-01",South Dakota,47.38035580878912,60716,567
"2021-03-01",Mississippi,57.98354169377571,303224,7138
"2021-04-01",Alaska,64.54515846077025,63081,341
"2021-01-01",Texas,79.95147713163371,2211289,38525
"2020-11-01",Florida,69.45298139248517,795987,17897
"2021-05-01",Pennsylvania,70.3632415237009,1180727,26550
"2020-11-01",Alabama,63.52456558759612,223630,5009
"2021-03-01",Massachusetts,93.52396944712817,588209,16420
"2021-03-01",Arkansas,64.27337671426807,325700,5382
